Age,Attrition,BusinessTravel,Department,EducationField,EmployeeNumber,Gender,JobRole,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
24,Yes,Travel_Frequently,Research & Development,Life Sciences,647,Female,Laboratory Technician,Married,2886,Yes,6,4,6,3,1,2
30,Yes,Travel_Frequently,Sales,Life Sciences,648,Male,Sales Representative,Married,2033,No,1,2,1,0,0,0
34,No,Travel_Rarely,Research & Development,Life Sciences,649,Male,Research Scientist,Married,3622,Yes,6,3,6,5,1,3
31,Yes,Travel_Rarely,Sales,Medical,650,Male,Sales Executive,Divorced,4233,No,9,2,3,1,1,2
35,No,Travel_Rarely,Research & Development,Other,652,Male,Laboratory Technician,Single,3681,No,9,3,3,2,0,2
31,No,Travel_Rarely,Sales,Medical,653,Male,Sales Executive,Divorced,5460,No,13,4,7,7,5,7
27,No,Travel_Rarely,Research & Development,Medical,655,Female,Research Scientist,Divorced,2187,No,6,5,5,3,0,3
37,No,Travel_Rarely,Sales,Marketing,656,Male,Sales Executive,Married,9602,Yes,17,3,3,0,1,0
20,No,Travel_Rarely,Research & Development,Life Sciences,657,Female,Research Scientist,Single,2836,No,1,0,1,0,0,0
42,No,Travel_Rarely,Research & Development,Life Sciences,659,Female,Healthcare Representative,Married,4089,No,10,4,10,2,2,2
43,No,Travel_Rarely,Research & Development,Other,661,Male,Research Director,Divorced,16627,Yes,21,3,1,0,0,0
38,No,Travel_Rarely,Research & Development,Life Sciences,662,Female,Research Scientist,Single,2619,No,8,3,0,0,0,0
43,No,Travel_Frequently,Research & Development,Medical,663,Male,Laboratory Technician,Divorced,5679,Yes,10,3,8,7,4,7
48,No,Travel_Rarely,Research & Development,Life Sciences,664,Female,Manager,Married,15402,No,21,3,3,2,0,2
44,No,Travel_Rarely,Human Resources,Life Sciences,665,Female,Human Resources,Single,5985,No,10,1,2,2,0,2
34,No,Travel_Rarely,Sales,Technical Degree,666,Female,Sales Representative,Divorced,2579,Yes,8,3,8,2,0,6
27,Yes,Travel_Rarely,Sales,Marketing,667,Male,Sales Representative,Divorced,3041,No,5,3,4,3,0,2
21,No,Travel_Rarely,Sales,Technical Degree,669,Male,Sales Representative,Single,3447,No,3,2,3,2,1,2
44,No,Travel_Rarely,Research & Development,Other,671,Male,Manager,Married,19513,Yes,26,2,2,2,0,1
22,No,Travel_Rarely,Research & Development,Medical,675,Male,Research Scientist,Married,2773,No,3,3,2,2,2,2
33,No,Travel_Rarely,Sales,Marketing,677,Male,Sales Executive,Divorced,7104,No,6,3,5,0,1,2
32,No,Travel_Rarely,Research & Development,Life Sciences,679,Female,Research Scientist,Married,6322,Yes,6,2,6,4,0,5
30,No,Travel_Frequently,Research & Development,Medical,680,Female,Research Scientist,Divorced,2083,No,1,2,1,0,0,0
53,No,Travel_Rarely,Sales,Medical,682,Female,Sales Executive,Single,8381,No,18,2,14,7,8,10
34,No,Travel_Rarely,Research & Development,Life Sciences,683,Male,Research Scientist,Married,2691,No,10,4,10,9,8,8
45,Yes,Travel_Frequently,Sales,Life Sciences,684,Female,Sales Executive,Married,4286,No,5,4,1,1,0,0
26,No,Travel_Rarely,Research & Development,Life Sciences,686,Female,Laboratory Technician,Married,2659,Yes,3,2,3,2,0,2
37,No,Travel_Rarely,Research & Development,Other,689,Male,Manufacturing Director,Married,9434,No,10,2,10,7,7,8
29,No,Travel_Rarely,Sales,Medical,690,Female,Sales Executive,Married,5561,No,6,5,6,0,1,2
35,No,Travel_Rarely,Research & Development,Life Sciences,691,Male,Research Scientist,Single,6646,No,17,3,17,11,11,8
33,No,Travel_Frequently,Research & Development,Life Sciences,692,Male,Healthcare Representative,Divorced,7725,No,15,2,13,11,4,7
54,No,Travel_Rarely,Human Resources,Medical,698,Male,Human Resources,Married,10725,No,16,1,9,7,7,1
36,No,Travel_Rarely,Research & Development,Medical,699,Male,Manufacturing Director,Divorced,8847,Yes,13,2,3,2,0,2
27,No,Travel_Rarely,Research & Development,Medical,700,Male,Research Scientist,Single,2045,No,5,0,4,2,1,1
20,Yes,Travel_Rarely,Research & Development,Medical,701,Male,Research Scientist,Single,1009,Yes,1,5,1,0,1,1
33,Yes,Travel_Frequently,Research & Development,Life Sciences,702,Male,Research Scientist,Single,3348,Yes,10,3,10,8,9,7
35,No,Non-Travel,Research & Development,Life Sciences,704,Male,Laboratory Technician,Married,1281,No,1,3,1,0,0,0
23,No,Travel_Rarely,Research & Development,Medical,705,Male,Research Scientist,Married,2819,No,5,3,3,2,0,2
25,No,Travel_Rarely,Sales,Life Sciences,707,Male,Sales Executive,Married,4851,No,4,4,3,2,1,2
38,No,Travel_Rarely,Sales,Marketing,709,Female,Sales Executive,Single,4028,No,8,2,7,7,0,5
29,No,Travel_Frequently,Research & Development,Life Sciences,710,Male,Research Scientist,Divorced,2720,No,10,5,10,7,2,8
48,No,Travel_Rarely,Sales,Marketing,712,Male,Sales Executive,Married,8120,No,12,3,2,2,2,2
27,No,Travel_Frequently,Sales,Medical,714,Female,Sales Executive,Divorced,4647,Yes,6,3,6,5,0,4
37,No,Travel_Rarely,Research & Development,Life Sciences,715,Male,Research Scientist,Single,4680,No,4,2,1,0,0,0
50,No,Travel_Rarely,Research & Development,Medical,716,Male,Laboratory Technician,Married,3221,Yes,20,3,20,8,3,8
34,No,Travel_Rarely,Research & Development,Medical,717,Female,Healthcare Representative,Single,8621,No,9,3,8,7,7,7
24,Yes,Travel_Rarely,Sales,Life Sciences,720,Female,Sales Executive,Single,4577,No,4,3,2,2,2,0
39,No,Travel_Rarely,Research & Development,Technical Degree,721,Female,Healthcare Representative,Single,4553,No,20,4,20,7,11,10
32,No,Travel_Rarely,Sales,Marketing,722,Male,Sales Executive,Single,5396,No,10,2,10,7,0,8
50,Yes,Travel_Frequently,Sales,Technical Degree,723,Male,Sales Executive,Married,6796,Yes,18,4,4,3,1,3
38,No,Travel_Rarely,Research & Development,Life Sciences,724,Female,Healthcare Representative,Single,7625,No,10,4,9,7,1,8
27,No,Travel_Rarely,Research & Development,Life Sciences,725,Female,Manufacturing Director,Married,7412,No,9,3,9,7,0,7
32,No,Travel_Rarely,Research & Development,Life Sciences,727,Female,Research Director,Single,11159,No,10,6,7,7,7,7
47,No,Travel_Rarely,Sales,Marketing,728,Male,Sales Executive,Single,4960,No,20,2,7,7,1,7
40,No,Travel_Frequently,Sales,Life Sciences,729,Male,Sales Executive,Married,10475,Yes,20,2,18,13,1,12
53,No,Travel_Rarely,Research & Development,Life Sciences,730,Male,Research Director,Married,14814,No,32,3,5,1,1,3
41,No,Travel_Rarely,Human Resources,Human Resources,731,Male,Manager,Divorced,19141,No,23,2,21,6,12,6
60,No,Travel_Rarely,Sales,Marketing,732,Male,Sales Executive,Single,5405,No,10,1,2,2,2,2
27,No,Travel_Frequently,Research & Development,Life Sciences,733,Male,Manufacturing Director,Divorced,8793,No,9,4,9,7,1,7
41,No,Travel_Rarely,Human Resources,Human Resources,734,Male,Manager,Married,19189,No,22,3,22,7,2,10
50,No,Travel_Rarely,Sales,Marketing,738,Male,Sales Representative,Married,3875,No,4,2,2,2,2,2
28,Yes,Travel_Rarely,Research & Development,Life Sciences,741,Female,Research Scientist,Single,2216,Yes,10,4,7,7,3,7
36,No,Non-Travel,Research & Development,Life Sciences,742,Female,Research Director,Married,11713,No,10,2,8,7,0,5
38,No,Travel_Rarely,Research & Development,Life Sciences,743,Female,Manufacturing Director,Single,7861,Yes,10,4,1,0,0,0
44,No,Non-Travel,Research & Development,Medical,744,Male,Laboratory Technician,Single,3708,No,9,5,5,2,1,4
47,No,Travel_Frequently,Sales,Medical,746,Female,Sales Executive,Divorced,13770,Yes,28,2,22,2,11,13
30,No,Travel_Rarely,Sales,Marketing,747,Male,Sales Executive,Divorced,5304,No,10,2,8,7,7,7
29,No,Travel_Rarely,Sales,Life Sciences,749,Male,Sales Representative,Single,2642,No,1,6,1,0,0,0
42,Yes,Travel_Frequently,Research & Development,Medical,752,Male,Research Scientist,Divorced,2759,Yes,7,2,2,2,2,2
43,No,Travel_Frequently,Sales,Life Sciences,754,Male,Sales Executive,Married,6804,No,7,5,2,2,2,2
34,No,Travel_Rarely,Research & Development,Medical,757,Female,Healthcare Representative,Single,6142,No,10,2,5,1,4,3
23,No,Travel_Rarely,Research & Development,Medical,758,Male,Laboratory Technician,Married,2500,No,5,2,4,3,0,2
39,No,Travel_Rarely,Human Resources,Human Resources,760,Female,Human Resources,Married,6389,No,12,3,8,3,3,6
56,No,Travel_Rarely,Research & Development,Medical,762,Male,Healthcare Representative,Married,11103,No,30,1,10,7,1,1
40,No,Travel_Rarely,Research & Development,Medical,763,Female,Research Scientist,Single,2342,Yes,5,2,4,2,2,3
27,No,Travel_Rarely,Research & Development,Medical,764,Female,Healthcare Representative,Single,6811,No,9,2,7,6,0,7
29,No,Travel_Rarely,Sales,Marketing,766,Male,Sales Representative,Divorced,2297,No,2,2,2,2,2,2
53,No,Travel_Rarely,Research & Development,Life Sciences,769,Male,Laboratory Technician,Single,2450,No,19,4,2,2,2,2
35,No,Non-Travel,Research & Development,Life Sciences,771,Female,Healthcare Representative,Divorced,5093,No,16,2,1,0,0,0
32,No,Travel_Frequently,Research & Development,Life Sciences,772,Male,Laboratory Technician,Married,5309,No,10,2,10,8,4,7
38,No,Travel_Rarely,Research & Development,Medical,773,Male,Research Scientist,Married,3057,Yes,6,0,1,0,0,1
34,No,Travel_Rarely,Research & Development,Life Sciences,775,Female,Manufacturing Director,Divorced,5121,No,7,3,0,0,0,0
52,No,Travel_Rarely,Sales,Marketing,776,Male,Manager,Married,16856,No,34,3,34,6,1,16
33,Yes,Travel_Rarely,Research & Development,Other,780,Male,Research Scientist,Single,2686,Yes,10,2,10,9,7,8
25,No,Travel_Rarely,Sales,Medical,781,Female,Sales Executive,Single,6180,No,6,5,6,5,1,4
45,No,Travel_Rarely,Sales,Technical Degree,783,Male,Sales Representative,Single,6632,No,9,3,8,7,3,1
23,No,Travel_Rarely,Research & Development,Medical,784,Male,Research Scientist,Single,3505,No,2,3,2,2,0,2
47,Yes,Travel_Frequently,Sales,Life Sciences,785,Female,Sales Executive,Single,6397,Yes,8,2,5,4,1,3
34,No,Travel_Rarely,Sales,Other,786,Male,Sales Executive,Single,6274,No,6,5,6,5,1,4
55,Yes,Travel_Rarely,Research & Development,Medical,787,Male,Manager,Married,19859,Yes,24,2,5,2,1,4
36,No,Non-Travel,Sales,Life Sciences,789,Male,Sales Executive,Single,7587,No,10,1,10,7,0,9
52,No,Non-Travel,Research & Development,Medical,791,Male,Research Scientist,Married,4258,No,5,3,4,3,1,2
26,No,Travel_Frequently,Research & Development,Life Sciences,792,Female,Laboratory Technician,Divorced,4364,No,5,2,2,2,2,0
29,No,Travel_Rarely,Research & Development,Medical,793,Female,Healthcare Representative,Married,4335,No,11,3,8,7,1,1
26,Yes,Travel_Rarely,Sales,Technical Degree,796,Male,Sales Executive,Single,5326,No,6,2,4,3,1,2
34,No,Travel_Rarely,Research & Development,Life Sciences,797,Female,Research Scientist,Single,3280,No,10,2,4,2,1,3
54,No,Travel_Rarely,Research & Development,Medical,799,Female,Manufacturing Director,Divorced,5485,Yes,9,4,5,3,1,4
27,No,Travel_Frequently,Sales,Marketing,800,Male,Sales Executive,Married,4342,No,5,3,4,2,1,1
37,No,Travel_Rarely,Research & Development,Life Sciences,802,Female,Research Scientist,Divorced,2782,Yes,6,3,5,3,4,3
38,No,Travel_Frequently,Research & Development,Life Sciences,803,Female,Manufacturing Director,Single,5980,Yes,17,2,15,7,4,12
34,No,Travel_Rarely,Research & Development,Medical,804,Female,Research Scientist,Single,4381,No,6,3,6,5,1,3
35,No,Travel_Rarely,Sales,Life Sciences,805,Female,Sales Representative,Married,2572,No,3,1,3,2,0,2
30,No,Travel_Rarely,Research & Development,Life Sciences,806,Male,Laboratory Technician,Married,3833,No,7,2,2,2,0,2
40,No,Travel_Frequently,Research & Development,Medical,807,Female,Healthcare Representative,Married,4244,No,8,2,8,7,3,7
34,No,Travel_Rarely,Sales,Life Sciences,808,Female,Sales Executive,Married,6500,No,6,1,3,2,1,2
42,No,Travel_Frequently,Research & Development,Life Sciences,809,Male,Manager,Divorced,18430,No,24,4,24,7,14,9
23,Yes,Travel_Rarely,Research & Development,Life Sciences,811,Male,Laboratory Technician,Married,1601,Yes,1,2,0,0,0,0
24,No,Non-Travel,Research & Development,Life Sciences,812,Male,Laboratory Technician,Divorced,2694,No,1,4,1,0,0,0
52,No,Travel_Rarely,Research & Development,Life Sciences,813,Female,Laboratory Technician,Married,3149,No,9,3,5,2,1,4
50,No,Travel_Rarely,Research & Development,Medical,815,Male,Research Director,Married,17639,No,30,3,4,3,0,3
29,Yes,Travel_Rarely,Research & Development,Life Sciences,816,Female,Laboratory Technician,Married,2319,Yes,1,1,1,0,0,0
33,No,Travel_Rarely,Research & Development,Medical,817,Male,Research Director,Married,11691,No,14,3,13,9,3,7
33,Yes,Travel_Rarely,Sales,Marketing,819,Female,Sales Executive,Single,5324,No,6,3,3,2,0,2
47,No,Travel_Rarely,Research & Development,Other,820,Female,Manager,Married,16752,Yes,26,3,26,14,3,0
36,No,Travel_Rarely,Research & Development,Other,823,Female,Manufacturing Director,Married,5228,No,10,2,9,7,0,5
29,No,Travel_Rarely,Research & Development,Life Sciences,824,Male,Research Scientist,Married,2700,No,10,3,10,7,0,7
58,Yes,Travel_Rarely,Research & Development,Life Sciences,825,Male,Research Director,Single,19246,Yes,40,2,31,15,13,8
35,No,Travel_Rarely,Research & Development,Life Sciences,826,Female,Research Scientist,Single,2506,No,7,0,2,2,2,2
42,No,Travel_Rarely,Research & Development,Life Sciences,827,Female,Manufacturing Director,Married,6062,Yes,8,4,4,3,0,2
28,Yes,Travel_Rarely,Research & Development,Medical,828,Male,Research Scientist,Single,4382,No,5,3,2,2,2,1
36,No,Travel_Rarely,Human Resources,Human Resources,829,Male,Human Resources,Married,2143,No,8,2,5,2,0,4
32,No,Travel_Rarely,Research & Development,Life Sciences,830,Female,Manufacturing Director,Married,6162,No,14,3,14,13,6,8
40,No,Travel_Frequently,Research & Development,Medical,832,Male,Laboratory Technician,Single,5094,No,10,6,1,0,0,0
30,No,Travel_Rarely,Research & Development,Medical,833,Female,Manufacturing Director,Single,6877,Yes,12,4,0,0,0,0
45,No,Travel_Rarely,Research & Development,Life Sciences,834,Female,Research Scientist,Single,2274,No,1,3,1,0,0,0
42,No,Travel_Rarely,Research & Development,Life Sciences,836,Male,Manufacturing Director,Married,4434,No,10,3,9,8,7,8
38,No,Travel_Frequently,Research & Development,Life Sciences,837,Male,Healthcare Representative,Divorced,6288,No,13,3,4,3,1,2
34,No,Travel_Frequently,Research & Development,Life Sciences,838,Female,Research Scientist,Single,2553,No,6,3,5,2,1,3
49,Yes,Travel_Rarely,Sales,Marketing,840,Female,Sales Executive,Married,7654,No,9,3,9,8,7,7
55,Yes,Travel_Rarely,Sales,Medical,842,Male,Sales Executive,Single,5160,No,12,3,9,7,7,3
43,No,Travel_Rarely,Research & Development,Life Sciences,843,Male,Research Director,Married,17159,No,22,3,4,1,1,0
27,No,Travel_Rarely,Research & Development,Technical Degree,844,Male,Research Director,Divorced,12808,Yes,9,3,9,8,0,8
35,No,Travel_Rarely,Research & Development,Other,845,Male,Manufacturing Director,Single,10221,No,17,3,8,5,1,6
28,No,Travel_Rarely,Sales,Marketing,846,Female,Sales Executive,Married,4779,Yes,8,2,8,7,7,5
34,No,Travel_Rarely,Human Resources,Human Resources,847,Male,Human Resources,Married,3737,No,4,1,3,2,0,2
26,Yes,Travel_Frequently,Research & Development,Medical,848,Female,Research Scientist,Married,2366,Yes,8,2,8,7,1,7
27,No,Non-Travel,Research & Development,Medical,850,Male,Research Scientist,Married,1706,No,0,6,0,0,0,0
51,No,Travel_Rarely,Sales,Marketing,851,Female,Manager,Married,16307,No,29,2,20,6,4,17
44,No,Travel_Rarely,Research & Development,Medical,852,Male,Healthcare Representative,Single,5933,No,10,2,5,2,2,3
25,No,Travel_Rarely,Research & Development,Medical,854,Male,Research Scientist,Single,3424,No,6,3,4,3,0,1
33,No,Travel_Rarely,Sales,Medical,855,Male,Sales Executive,Divorced,4037,No,9,5,9,8,0,8
35,No,Travel_Rarely,Research & Development,Medical,856,Female,Research Scientist,Single,2559,No,6,3,6,5,1,1
36,No,Travel_Rarely,Sales,Life Sciences,857,Male,Sales Executive,Married,6201,Yes,18,1,18,14,4,11
32,No,Travel_Rarely,Sales,Life Sciences,859,Male,Sales Executive,Divorced,4403,No,8,3,5,2,0,3
30,No,Travel_Frequently,Research & Development,Life Sciences,861,Male,Research Scientist,Divorced,3761,No,10,3,5,4,0,3
53,No,Travel_Rarely,Sales,Marketing,862,Female,Sales Executive,Married,10934,Yes,35,3,5,2,0,4
45,No,Travel_Rarely,Sales,Marketing,864,Male,Sales Executive,Divorced,10761,Yes,18,2,5,4,0,2
32,No,Travel_Rarely,Research & Development,Medical,865,Female,Research Scientist,Married,5175,No,9,3,5,3,1,3
52,No,Travel_Frequently,Research & Development,Medical,867,Female,Manufacturing Director,Married,13826,No,31,3,9,8,0,0
37,No,Travel_Rarely,Sales,Marketing,868,Male,Sales Executive,Divorced,6334,No,9,2,1,0,0,0
28,No,Travel_Rarely,Human Resources,Medical,869,Male,Human Resources,Divorced,4936,No,6,6,5,1,0,4
22,No,Travel_Rarely,Research & Development,Life Sciences,872,Male,Manufacturing Director,Married,4775,No,4,2,2,2,2,2
44,No,Travel_Rarely,Research & Development,Life Sciences,874,Male,Laboratory Technician,Married,2818,Yes,10,2,3,2,0,2
42,No,Travel_Frequently,Research & Development,Medical,875,Male,Research Scientist,Single,2515,Yes,8,2,2,1,2,2
36,No,Travel_Rarely,Human Resources,Life Sciences,878,Male,Human Resources,Married,2342,No,6,3,5,4,0,3
25,No,Travel_Rarely,Sales,Other,879,Male,Sales Executive,Married,4194,Yes,5,3,5,3,0,3
35,No,Travel_Rarely,Research & Development,Life Sciences,880,Female,Manufacturing Director,Married,10685,Yes,17,2,17,14,5,15
35,Yes,Travel_Frequently,Research & Development,Life Sciences,881,Female,Research Scientist,Divorced,2022,Yes,10,3,10,2,7,8
32,No,Non-Travel,Research & Development,Life Sciences,882,Male,Laboratory Technician,Divorced,2314,No,4,2,3,0,0,2
25,No,Travel_Rarely,Sales,Marketing,885,Male,Sales Executive,Married,4256,No,5,1,5,2,0,3
49,No,Travel_Rarely,Research & Development,Technical Degree,887,Female,Research Scientist,Married,3580,No,7,2,4,2,0,2
24,No,Non-Travel,Research & Development,Life Sciences,888,Male,Laboratory Technician,Married,3162,No,6,2,5,2,3,4
32,No,Travel_Frequently,Sales,Life Sciences,889,Male,Sales Executive,Married,6524,No,10,3,10,8,5,3
38,No,Travel_Rarely,Sales,Marketing,893,Male,Sales Representative,Married,2899,No,3,3,2,2,1,2
42,No,Travel_Rarely,Research & Development,Life Sciences,894,Female,Laboratory Technician,Married,5231,Yes,17,1,5,3,1,3
31,No,Travel_Rarely,Research & Development,Life Sciences,895,Male,Research Scientist,Married,2356,Yes,8,2,6,4,0,2
29,Yes,Travel_Rarely,Sales,Medical,896,Female,Sales Representative,Divorced,2800,Yes,5,3,3,2,0,2
53,No,Travel_Rarely,Sales,Marketing,897,Male,Sales Executive,Married,11836,No,28,3,2,0,2,2
35,No,Travel_Rarely,Research & Development,Technical Degree,899,Male,Manufacturing Director,Married,10903,No,16,2,13,10,4,8
37,No,Travel_Frequently,Sales,Medical,900,Female,Sales Representative,Married,2973,No,10,3,5,4,0,0
53,No,Travel_Rarely,Research & Development,Life Sciences,901,Female,Research Director,Single,14275,No,33,0,12,9,3,8
43,No,Travel_Frequently,Research & Development,Life Sciences,902,Female,Healthcare Representative,Married,5562,No,12,2,5,2,2,2
47,No,Travel_Rarely,Sales,Marketing,903,Female,Sales Executive,Married,4537,Yes,8,2,7,6,7,7
37,No,Non-Travel,Sales,Medical,904,Male,Sales Executive,Single,7642,Yes,10,2,10,0,0,9
50,No,Non-Travel,Research & Development,Life Sciences,905,Male,Manager,Divorced,17924,No,31,3,31,6,14,7
39,No,Travel_Rarely,Human Resources,Life Sciences,909,Female,Human Resources,Married,5204,No,13,2,5,4,0,4
33,No,Travel_Rarely,Human Resources,Human Resources,910,Male,Human Resources,Divorced,2277,Yes,7,4,4,3,0,3
32,Yes,Travel_Rarely,Research & Development,Life Sciences,911,Male,Laboratory Technician,Single,2795,Yes,1,2,1,0,0,1
29,No,Travel_Rarely,Research & Development,Medical,912,Female,Laboratory Technician,Divorced,2532,No,8,5,4,3,0,3
44,No,Travel_Rarely,Research & Development,Life Sciences,913,Male,Research Scientist,Married,2559,Yes,8,0,8,7,7,1
28,No,Travel_Rarely,Sales,Medical,916,Male,Sales Executive,Single,4908,No,4,3,4,2,0,2
58,Yes,Travel_Frequently,Research & Development,Life Sciences,918,Male,Laboratory Technician,Divorced,2380,Yes,3,3,1,0,0,0
43,No,Travel_Rarely,Research & Development,Life Sciences,920,Female,Manufacturing Director,Divorced,4765,No,4,2,1,0,0,0
20,Yes,Travel_Rarely,Sales,Medical,922,Female,Sales Representative,Single,2044,No,2,3,2,2,0,2
21,Yes,Travel_Rarely,Research & Development,Other,923,Female,Research Scientist,Single,2693,No,1,3,1,0,0,0
36,No,Travel_Rarely,Research & Development,Life Sciences,924,Male,Healthcare Representative,Married,6586,Yes,17,2,16,8,4,11
47,No,Travel_Rarely,Sales,Life Sciences,925,Female,Sales Representative,Single,3294,Yes,3,3,3,2,1,2
22,Yes,Travel_Rarely,Research & Development,Life Sciences,926,Female,Manufacturing Director,Married,4171,Yes,4,3,3,2,0,2
41,Yes,Travel_Rarely,Research & Development,Life Sciences,927,Female,Laboratory Technician,Divorced,2778,Yes,10,1,7,7,1,0
28,No,Travel_Rarely,Research & Development,Medical,930,Female,Research Scientist,Divorced,2377,No,6,2,2,2,2,2
39,Yes,Travel_Rarely,Research & Development,Medical,932,Male,Laboratory Technician,Married,2404,Yes,8,2,2,2,2,2
27,No,Travel_Rarely,Research & Development,Life Sciences,933,Female,Research Scientist,Single,2318,No,1,2,1,1,0,0
34,No,Travel_Rarely,Research & Development,Life Sciences,934,Male,Laboratory Technician,Divorced,2008,No,1,3,1,0,1,0
42,No,Travel_Rarely,Sales,Medical,936,Female,Sales Executive,Single,6244,No,10,6,5,4,0,3
33,No,Travel_Rarely,Research & Development,Other,939,Male,Research Scientist,Single,2799,Yes,6,1,3,2,0,2
58,No,Travel_Rarely,Research & Development,Technical Degree,940,Female,Healthcare Representative,Divorced,10552,Yes,24,3,6,0,0,4
31,No,Travel_Rarely,Sales,Life Sciences,941,Male,Sales Representative,Married,2329,No,13,2,7,7,5,2
35,No,Travel_Rarely,Research & Development,Life Sciences,942,Female,Healthcare Representative,Married,4014,Yes,10,2,10,6,0,7
49,No,Travel_Rarely,Research & Development,Other,944,Female,Laboratory Technician,Married,7403,No,29,3,26,9,1,7
48,No,Travel_Rarely,Research & Development,Medical,945,Male,Research Scientist,Married,2259,No,13,2,0,0,0,0
31,No,Non-Travel,Sales,Marketing,947,Female,Sales Executive,Married,6932,No,9,2,9,8,0,0
36,No,Travel_Rarely,Research & Development,Other,949,Male,Research Scientist,Single,4678,No,8,6,6,2,0,1
38,No,Travel_Rarely,Research & Development,Technical Degree,950,Female,Research Director,Married,13582,No,15,3,15,12,5,11
32,No,Non-Travel,Research & Development,Life Sciences,951,Female,Laboratory Technician,Married,2332,No,5,3,3,0,0,2
25,Yes,Travel_Rarely,Sales,Marketing,952,Male,Sales Representative,Married,2413,Yes,1,2,1,0,0,0
40,No,Travel_Rarely,Sales,Marketing,954,Male,Sales Executive,Divorced,9705,No,11,2,1,0,0,0
26,No,Travel_Frequently,Sales,Medical,956,Male,Sales Executive,Single,4294,No,7,2,7,7,0,7
41,No,Travel_Rarely,Research & Development,Medical,957,Male,Laboratory Technician,Single,4721,Yes,20,3,18,13,2,17
36,No,Travel_Rarely,Research & Development,Medical,958,Male,Laboratory Technician,Single,2519,No,16,6,11,8,3,9
19,Yes,Travel_Rarely,Sales,Other,959,Male,Sales Representative,Single,2121,Yes,1,3,1,0,0,0
20,Yes,Travel_Rarely,Research & Development,Technical Degree,960,Male,Laboratory Technician,Single,2973,No,1,2,1,0,0,0
31,No,Travel_Rarely,Research & Development,Medical,961,Female,Healthcare Representative,Married,5855,Yes,10,2,9,7,8,5
40,No,Travel_Frequently,Research & Development,Medical,964,Male,Research Scientist,Divorced,3617,Yes,3,2,1,1,0,0
32,No,Travel_Rarely,Research & Development,Medical,966,Female,Manufacturing Director,Married,6725,No,8,2,8,7,6,3
36,Yes,Travel_Rarely,Sales,Life Sciences,967,Male,Sales Executive,Married,10325,Yes,16,6,16,7,3,7
33,No,Travel_Rarely,Research & Development,Life Sciences,969,Female,Healthcare Representative,Single,6949,No,6,3,5,0,1,4
37,Yes,Travel_Rarely,Sales,Life Sciences,970,Male,Sales Executive,Married,10609,No,17,2,14,1,11,7
45,No,Non-Travel,Research & Development,Life Sciences,972,Male,Laboratory Technician,Married,4447,No,9,5,9,7,0,8
29,No,Travel_Frequently,Sales,Technical Degree,974,Female,Sales Representative,Married,2157,No,3,5,3,1,0,2
35,No,Travel_Rarely,Sales,Medical,975,Female,Sales Executive,Married,4601,No,5,3,5,2,1,0
52,No,Travel_Rarely,Research & Development,Life Sciences,976,Male,Manager,Married,17099,No,26,2,9,8,7,8
58,Yes,Travel_Rarely,Research & Development,Technical Degree,977,Male,Research Scientist,Single,2479,No,7,4,1,0,0,0
53,No,Travel_Rarely,Sales,Medical,981,Male,Manager,Divorced,14852,No,22,3,17,13,15,2
30,No,Travel_Rarely,Sales,Other,982,Male,Sales Executive,Divorced,7264,No,10,2,8,4,7,7
38,No,Non-Travel,Sales,Technical Degree,983,Female,Sales Executive,Single,5666,Yes,6,1,5,3,1,3
35,No,Travel_Rarely,Sales,Life Sciences,984,Male,Sales Executive,Divorced,7823,No,12,2,10,9,0,8
39,No,Travel_Rarely,Sales,Life Sciences,985,Male,Sales Executive,Single,7880,No,9,3,8,7,0,7
40,Yes,Non-Travel,Sales,Life Sciences,986,Female,Sales Executive,Single,13194,Yes,22,2,1,0,0,0
47,No,Travel_Frequently,Research & Development,Medical,987,Male,Manufacturing Director,Divorced,5067,Yes,20,3,19,10,2,7
36,No,Non-Travel,Sales,Technical Degree,990,Male,Sales Executive,Divorced,5079,No,12,3,7,7,0,7
31,Yes,Non-Travel,Research & Development,Medical,991,Male,Research Scientist,Single,2321,Yes,4,0,3,2,1,2
33,No,Non-Travel,Sales,Life Sciences,992,Male,Manager,Single,17444,No,10,2,10,8,6,0
29,Yes,Travel_Rarely,Research & Development,Life Sciences,994,Female,Research Scientist,Single,2404,Yes,3,5,0,0,0,0
33,No,Travel_Rarely,Research & Development,Life Sciences,995,Female,Research Scientist,Single,3452,No,5,4,3,2,0,2
45,No,Travel_Rarely,Research & Development,Medical,996,Female,Laboratory Technician,Divorced,2270,No,8,2,5,3,0,2
50,No,Travel_Rarely,Research & Development,Medical,997,Male,Research Director,Divorced,17399,No,32,1,5,4,1,3
33,No,Travel_Frequently,Research & Development,Other,998,Female,Healthcare Representative,Married,5488,Yes,6,2,6,5,1,2
41,No,Travel_Frequently,Research & Development,Medical,999,Male,Research Director,Divorced,19419,No,21,2,18,16,0,11
27,No,Travel_Rarely,Research & Development,Technical Degree,1001,Female,Laboratory Technician,Married,2811,No,4,2,2,2,2,2
45,No,Non-Travel,Research & Development,Life Sciences,1002,Male,Laboratory Technician,Married,3633,Yes,9,2,9,8,0,8
47,No,Travel_Rarely,Sales,Life Sciences,1003,Female,Sales Executive,Single,4163,Yes,9,0,9,0,0,7
